price,superficie,bains,chambres
104000.0,68.0,1,1
185000.0,59.0,1,1
119998.0,100.0,1,3
580000.0,280.0,2,4
560000.0,245.0,3,4
394997.0,150.0,2,4
380000.0,360.0,6,12
1650000.0,510.0,2,3
205000.0,100.0,1,2
400000.0,202.0,2,5
253000.0,330.0,1,6
315000.0,126.0,2,2
650000.0,500.0,2,4
280000.0,95.0,1,2
440000.0,180.0,2,7
350000.0,265.0,2,5
838000.0,544.0,2,3
259000.0,110.0,2,3
250000.0,189.0,1,3
517000.0,517.0,4,8
80000.0,300.0,1,4
150000.0,110.0,1,5
140000.0,95.0,1,1
230000.0,63.0,1,1
310000.0,74.0,1,2
899000.0,490.0,2,4
398000.0,105.0,1,2
545000.0,250.0,2,8
425000.0,180.0,2,3
382000.0,132.0,2,2
383000.0,123.08,2,2
438000.0,120.0,2,2
285000.0,130.0,1,3
185000.0,60.0,1,1
650000.0,85.0,1,3
335000.0,80.0,1,-1
800000.0,300.0,3,4
370000.0,100.0,1,2
293000.0,61.5,1,0
270000.0,238.0,2,5
290000.0,120.0,1,2
220000.0,120.0,1,2
289000.0,82.0,1,1
239000.0,80.0,1,2
290000.0,110.0,2,3
330000.0,100.0,2,2
330000.0,535.0,4,2
155000.0,133.0,1,2
560000.0,245.0,3,4
550000.0,210.0,2,3
280000.0,61.0,1,3
450000.0,287.0,2,4
300000.0,100.0,1,2
145000.0,80.0,1,3
80000.0,120.0,1,2
150000.0,88.0,1,2
295000.0,113.5,2,2
295000.0,113.5,2,2
310000.0,120.0,2,3
275000.0,342.0,1,2
280000.0,200.0,1,3
650000.0,150.0,2,1
250000.0,101.0,1,2
100000.0,85.0,1,2
650000.0,500.0,4,8
185000.0,153.0,1,2
290000.0,100.0,2,6
680000.0,300.0,2,4
210000.0,130.0,1,3
260000.0,60.0,1,1
800000.0,280.0,4,6
224900.0,79.0,1,1
690000.0,243.0,0,5
410000.0,109.0,0,2
254999.0,151.0,1,2
480000.0,500.0,1,3
275000.0,68.0,1,1
980000.0,408.0,1,3
520000.0,436.0,2,4
295000.0,99.0,1,2
270000.0,156.0,1,2
275000.0,130.0,1,1
750000.0,192.0,3,4
160000.0,90.0,0,3
400000.0,67.0,0,2
95000.0,69.0,1,2
150000.0,100.0,1,3
275000.0,126.0,1,3
390000.0,246.0,1,3
165000.0,60.0,1,1
225000.0,200.0,2,4
370000.0,299.0,2,5
